run_id,seed_used,success,restarts_used,total_iterations,time_s,final_conflicts,used_sideways,solution
179,220,False,50,5365,1.855441522000092,1,,"[4, 6, 0, 2, 7, 5, 7, 1]"
180,221,False,50,5686,2.0014173169997775,1,,"[2, 5, 7, 2, 0, 3, 6, 4]"
181,222,False,50,5477,1.9006563499997355,1,,"[1, 6, 0, 5, 7, 4, 6, 3]"
182,223,False,50,5452,1.8769104399998469,1,,"[6, 2, 7, 7, 0, 3, 1, 4]"
183,224,False,50,5684,1.9833993050001482,1,,"[7, 2, 4, 6, 0, 0, 5, 1]"
184,225,False,50,5434,2.1043305600001077,1,,"[2, 2, 5, 7, 0, 4, 6, 1]"
185,226,False,50,5356,1.89557842000022,1,,"[6, 1, 3, 5, 7, 4, 4, 0]"
186,227,False,50,5454,2.284721300000001,1,,"[2, 4, 7, 0, 3, 5, 7, 1]"
187,228,False,50,5625,2.7886294989998532,1,,"[5, 2, 0, 3, 0, 7, 1, 6]"
188,229,False,50,5531,2.1239521840002453,1,,"[7, 5, 7, 2, 0, 6, 4, 1]"
189,230,False,50,5431,2.0922507979998954,1,,"[2, 2, 7, 1, 3, 5, 0, 4]"
190,231,True,43,4664,1.6800234000002092,0,0,"[3, 1, 7, 5, 0, 2, 4, 6]"
191,232,False,50,5275,1.9211151680001421,1,,"[1, 6, 4, 0, 7, 5, 2, 5]"
192,233,False,50,5446,2.1536133489998974,1,,"[1, 1, 4, 7, 0, 3, 5, 2]"
193,234,False,50,5488,2.1660652460000165,1,,"[0, 2, 0, 5, 7, 4, 1, 3]"
194,235,True,39,4129,1.5798420920000353,0,0,"[4, 0, 7, 5, 2, 6, 1, 3]"
195,236,False,50,5533,2.1422708380000586,1,,"[3, 0, 6, 1, 5, 7, 1, 4]"
196,237,False,50,5400,2.0436411129999215,1,,"[1, 7, 2, 0, 6, 4, 1, 5]"
197,238,False,50,5511,2.3301252030000796,1,,"[5, 0, 0, 6, 4, 2, 7, 3]"
198,239,False,50,5875,2.335441193999941,1,,"[4, 2, 0, 6, 1, 7, 5, 7]"
199,240,False,50,5481,1.9835608280000088,1,,"[5, 7, 5, 3, 0, 6, 4, 2]"
200,241,False,50,5629,2.229972782999994,1,,"[6, 6, 2, 0, 5, 7, 4, 1]"
201,242,False,50,5715,2.2253735689996574,1,,"[4, 7, 5, 0, 2, 6, 6, 3]"
