success,restarts_used,total_iterations,time_s,conflicts,start_conflicts,final_conflicts,used_sideways
True,1,9,0.008018156004254706,0,10,0,0
True,1,17,0.01686647700262256,0,10,0,0
True,1,13,0.011777370003983378,0,6,0,0
True,1,3,0.0028067480016034096,0,4,0,0
True,1,45,0.04043707299570087,0,13,0,0
True,1,4,0.0029765259969281033,0,13,0,0
True,1,35,0.02457473598769866,0,8,0,0
True,1,13,0.009036989999003708,0,6,0,0
True,1,22,0.015483718001632951,0,13,0,0
True,1,35,0.024210794988903217,0,9,0,0
True,1,4,0.002753952008788474,0,11,0,0
True,1,17,0.0117047219973756,0,12,0,0
True,1,6,0.004167784005403519,0,11,0,0
True,1,3,0.002076878008665517,0,8,0,0
True,1,10,0.0069272999971872196,0,7,0,0
True,1,9,0.0061820410046493635,0,9,0,0
True,1,11,0.0076119410077808425,0,4,0,0
True,1,12,0.008406343986280262,0,8,0,0
True,1,19,0.013059586999588646,0,14,0,0
True,1,6,0.004143753001699224,0,10,0,0
True,1,9,0.006265602001803927,0,7,0,0
True,1,81,0.05645627398916986,0,6,0,0
True,1,8,0.00555844500195235,0,7,0,0
True,1,4,0.002730929001700133,0,9,0,0
True,1,8,0.0055218109919223934,0,6,0,0
True,1,7,0.0047688260092400014,0,8,0,0
True,1,12,0.008310003991937265,0,5,0,0
True,1,92,0.06349297599808779,0,5,0,0
True,1,13,0.009194700993248262,0,10,0,0
True,1,19,0.013141976000042632,0,9,0,0
