success,restarts_used,total_iterations,time_s,conflicts,start_conflicts,final_conflicts,used_sideways
True,1,9,0.00706185499439016,0,10,0,0
True,1,17,0.013153317995602265,0,10,0,0
True,1,13,0.009995856002205983,0,6,0,0
True,1,3,0.0023208719940157607,0,4,0,0
True,1,45,0.034439523005858064,0,13,0,0
True,1,4,0.0027679780032485723,0,13,0,0
True,1,35,0.02485335098754149,0,8,0,0
True,1,13,0.008983096995507367,0,6,0,0
True,1,22,0.015174097003182396,0,13,0,0
True,1,35,0.024708103999728337,0,9,0,0
True,1,4,0.00276149099227041,0,11,0,0
True,1,17,0.01175148600304965,0,12,0,0
True,1,6,0.004178811999736354,0,11,0,0
True,1,3,0.002078578996588476,0,8,0,0
True,1,10,0.00694116999511607,0,7,0,0
True,1,9,0.0062774350080871955,0,9,0,0
True,1,11,0.007709615005296655,0,4,0,0
True,1,12,0.008300350993522443,0,8,0,0
True,1,19,0.013043245999142528,0,14,0,0
True,1,6,0.004182208998827264,0,10,0,0
True,1,9,0.0062586569983977824,0,7,0,0
True,1,81,0.056316000991500914,0,6,0,0
True,1,8,0.005597438997938298,0,7,0,0
True,1,4,0.0027854939980898052,0,9,0,0
True,1,8,0.005634706001728773,0,6,0,0
True,1,7,0.004820829999516718,0,8,0,0
True,1,12,0.008395420998567715,0,5,0,0
True,1,92,0.06582918600179255,0,5,0,0
True,1,13,0.009059143005288206,0,10,0,0
True,1,19,0.013474437000695616,0,9,0,0
