run_id,seed_used,success,restarts_used,total_iterations,time_s,final_conflicts,strategy
1,42,True,1,8,0.007564546999901722,0,best-sideways
2,43,False,1,104,0.0991432989999339,2,best-sideways
3,44,False,1,104,0.08535924700004216,1,best-sideways
4,45,False,1,104,0.07856327600006807,1,best-sideways
5,46,True,1,5,0.003638375000036831,0,best-sideways
6,47,True,1,6,0.00505504599982487,0,best-sideways
7,48,False,1,104,0.0768772030000946,1,best-sideways
8,49,True,1,7,0.004897189999837792,0,best-sideways
9,50,False,1,105,0.08128347500019117,1,best-sideways
10,51,False,1,105,0.07783961500012992,1,best-sideways
11,52,False,1,103,0.08045654300008209,1,best-sideways
12,53,True,1,5,0.004182012000001123,0,best-sideways
13,54,True,1,4,0.003444003000140583,0,best-sideways
14,55,True,1,8,0.005855698999994274,0,best-sideways
15,56,False,1,103,0.07640354399995886,2,best-sideways
16,57,False,1,104,0.07934186200009208,1,best-sideways
17,58,False,1,107,0.08010711799988712,1,best-sideways
18,59,True,1,7,0.005341124000096897,0,best-sideways
19,60,True,1,5,0.004080606000115949,0,best-sideways
20,61,False,1,103,0.07790490200000022,2,best-sideways
21,62,False,1,105,0.0798611070001698,1,best-sideways
22,63,True,1,5,0.00373098599993682,0,best-sideways
23,64,True,1,4,0.003073752999853241,0,best-sideways
24,65,False,1,104,0.078626118000102,1,best-sideways
25,66,False,1,104,0.07741854900018552,1,best-sideways
26,67,False,1,106,0.07926754200002506,1,best-sideways
27,68,False,1,104,0.07965736900018783,2,best-sideways
28,69,False,1,105,0.07945864199996322,2,best-sideways
29,70,False,1,103,0.07843850400013253,1,best-sideways
30,71,False,1,105,0.08093673600001239,1,best-sideways
31,72,False,1,104,0.07953491600005691,1,best-sideways
32,73,False,1,104,0.07848732700017536,2,best-sideways
33,74,False,1,104,0.0793095879998873,2,best-sideways
34,75,False,1,104,0.07920687299997553,1,best-sideways
35,76,False,1,105,0.08030470400012746,1,best-sideways
36,77,False,1,105,0.08026600799985317,1,best-sideways
37,78,True,1,2,0.0014558910002051562,0,best-sideways
38,79,True,1,7,0.005003448000024946,0,best-sideways
39,80,True,1,9,0.007036681000045064,0,best-sideways
40,81,True,1,6,0.004558605000056559,0,best-sideways
41,82,True,1,5,0.003340881999974954,0,best-sideways
42,83,False,1,5,0.0038493319998451625,1,best-sideways
43,84,False,1,103,0.0788323289998516,2,best-sideways
44,85,True,1,6,0.004100655999991432,0,best-sideways
45,86,False,1,104,0.07916727499991794,1,best-sideways
46,87,True,1,5,0.0038057799999933195,0,best-sideways
47,88,False,1,103,0.08196008899994922,2,best-sideways
48,89,False,1,104,0.09014011499994012,1,best-sideways
49,90,True,1,3,0.0022157050000259915,0,best-sideways
50,91,False,1,105,0.07772049200002584,1,best-sideways
51,92,False,1,104,0.0884799949999433,1,best-sideways
52,93,True,1,5,0.0035779259999344504,0,best-sideways
53,94,False,1,105,0.07842105300005642,1,best-sideways
54,95,False,1,105,0.07815752400006204,1,best-sideways
55,96,True,1,5,0.004011360000049535,0,best-sideways
56,97,True,1,6,0.004388198000015109,0,best-sideways
57,98,False,1,103,0.0801755789998424,1,best-sideways
58,99,False,1,105,0.07709388200009926,1,best-sideways
59,100,False,1,105,0.07804613200005406,1,best-sideways
60,101,True,1,5,0.003938501999982691,0,best-sideways
61,102,False,1,105,0.08155975099998614,1,best-sideways
62,103,False,1,105,0.07752146300003915,1,best-sideways
63,104,False,1,104,0.07624773299994558,1,best-sideways
64,105,True,1,4,0.0029552430000876484,0,best-sideways
65,106,True,1,5,0.003734571999984837,0,best-sideways
66,107,False,1,103,0.0824559349998708,1,best-sideways
67,108,False,1,105,0.08219267300000865,1,best-sideways
68,109,False,1,106,0.08303489500008254,1,best-sideways
69,110,False,1,106,0.08007876600004238,1,best-sideways
70,111,False,1,103,0.07820291400003043,1,best-sideways
71,112,False,1,104,0.08047923100002663,1,best-sideways
72,113,True,1,2,0.0014817910000601842,0,best-sideways
73,114,False,1,105,0.07950925599993752,1,best-sideways
74,115,False,1,107,0.08046877400010999,1,best-sideways
75,116,False,1,104,0.07910775799996372,2,best-sideways
76,117,False,1,104,0.07833577099995637,1,best-sideways
77,118,True,1,5,0.003910746999963521,0,best-sideways
78,119,False,1,105,0.0800695339999038,1,best-sideways
79,120,True,1,9,0.0071383730000889045,0,best-sideways
80,121,True,1,4,0.0030116069999621686,0,best-sideways
81,122,True,1,6,0.0043628019998323,0,best-sideways
82,123,True,1,10,0.007852873000047111,0,best-sideways
83,124,False,1,103,0.07878507400005219,2,best-sideways
84,125,True,1,3,0.0022195389999524195,0,best-sideways
85,126,False,1,105,0.07983677800007172,1,best-sideways
86,127,False,1,105,0.08012699899995823,1,best-sideways
87,128,True,1,6,0.004623546999937389,0,best-sideways
88,129,False,1,105,0.080407040999944,1,best-sideways
89,130,True,1,4,0.003093972999977268,0,best-sideways
90,131,True,1,3,0.002483737999909863,0,best-sideways
91,132,False,1,104,0.07902792499999123,1,best-sideways
92,133,True,1,7,0.00543850899998688,0,best-sideways
93,134,True,1,6,0.00461864599992623,0,best-sideways
94,135,False,1,107,0.0804140739999184,1,best-sideways
